Name,Link,Short Description,Programming Language,List of tags
opensource.guide,https://github.com/github/opensource.guide,📚 Community guides for open source creators,JavaScript,"open-source, documentation, tutorial, oss, best-practices"
explore,https://github.com/github/explore,Community-curated topic and collection pages on GitHub,Ruby,"topics, collections, community-driven"
linguist,https://github.com/github/linguist,"Language Savant. If your repository's language is being reported incorrectly, send us a pull request!",Ruby,"syntax-highlighting, language-grammars, language-statistics, linguistic"
gemoji,https://github.com/github/gemoji,Emoji images and names.,Ruby,"ruby, emoji, unicode, rubygem"
hoosegow,https://github.com/github/hoosegow,Ephemeral Docker jails for running untrusted Ruby code,Ruby,No tags provided
cvelist,https://github.com/github/cvelist,GitHub Fork of cvelist. For use in GitHub's CVE Submission process.,Not given,No tags provided
gitignore,https://github.com/github/gitignore,A collection of useful .gitignore templates,Not given,"gitignore, git"
actionview-component,https://github.com/github/actionview-component,View components for Rails,Ruby,No tags provided
personal-website,https://github.com/github/personal-website,Code that'll help you kickstart a personal website that showcases your work as a software developer.,HTML,No tags provided
dmca,https://github.com/github/dmca,Repository with text of DMCA takedown notices as received. GitHub does not endorse or adopt any assertion contained in the following notices. Users identified in the notices are presumed innocent until proven guilty. Additional information about our DMCA policy can be found at,Not given,dmca
vscode-codeql,https://github.com/github/vscode-codeql,An extension for Visual Studio Code that adds rich language support for CodeQL,TypeScript,"vscode, vscode-extension, codeql"
eslint-plugin-github,https://github.com/github/eslint-plugin-github,An opinionated collection of ESLint shared configs and rules used by GitHub.,JavaScript,"javascript, eslint, eslintplugin"
backup-utils,https://github.com/github/backup-utils,GitHub Enterprise Backup Utilities,Shell,"github-enterprise, backups"
hub,https://github.com/github/hub,A command-line tool that makes git easier to use with GitHub.,Go,"git, go, homebrew, github-api, pull-request"
platform-samples,https://github.com/github/platform-samples,A public place for all platform sample projects.,Shell,"javascript, ruby, graphql, sample, pre-receive-hooks, hooks, platform"
homebrew-bootstrap,https://github.com/github/homebrew-bootstrap,A series of helper scripts to reduce duplication across `script/bootstrap`s.,Ruby,No tags provided
opensourcefriday,https://github.com/github/opensourcefriday,🚲 Contribute to the open source community every Friday,Ruby,No tags provided
ruby,https://github.com/github/ruby,The Ruby Programming Language,Ruby,No tags provided
homebrew-gh,https://github.com/github/homebrew-gh,Homebrew tap for GitHub CLI,Ruby,"cli, homebrew-tap"
actions-cheat-sheet,https://github.com/github/actions-cheat-sheet,A cheat sheet for GitHub Actions,HTML,No tags provided
codeql-go,https://github.com/github/codeql-go,The CodeQL extractor and libraries for Go.,Go,No tags provided
graphql-client,https://github.com/github/graphql-client,"A Ruby library for declaring, composing and executing GraphQL queries",Ruby,"ruby, graphql-client, graphql"
octodns,https://github.com/github/octodns,Tools for managing DNS across multiple providers,Python,"dns, workflow, infrastructure-as-code"
hubot-pager-me,https://github.com/github/hubot-pager-me,PagerDuty integration for Hubot,CoffeeScript,No tags provided
auto-check-element,https://github.com/github/auto-check-element,An input element that validates its value with a server endpoint.,JavaScript,"web-components, custom-elements"
training-kit,https://github.com/github/training-kit,Open source cheat sheets for Git and GitHub,HTML,"git, training, cheatsheet, fieldservices, professionalservices"
site-policy,https://github.com/github/site-policy,"Collaborative development on GitHub's site policies, procedures, and guidelines",Not given,"law, policy, privacy-policy, terms-of-service"
learning-lab-components,https://github.com/github/learning-lab-components,Open sourced components from GitHub Learning Lab,JavaScript,"learning-lab, github-learning-lab"
VFSForGit,https://github.com/github/VFSForGit,GitHub development on VFSForGit [please fork upstream microsoft/VFSForGit repository instead of this one],C#,No tags provided
orchestrator,https://github.com/github/orchestrator,MySQL replication topology management and HA,Go,"mysql, replication, high-availability, management-system"
github-1,https://github.com/github/github-1,A higher-level wrapper around the Github API. Intended for the browser.,JavaScript,No tags provided
